,A5967,A5980,A6001
Nitab11g018380.1,6.9455500907978776,4.769754348140254,4.650767071866047
Nitab11g018400.1,31.272530163785678,33.38717175314343,25.596626449458345
Nitab11g018440.1,77.78892846186918,92.21173021708388,80.23980426411337
Nitab11g018460.1,27.0031855990584,30.58688242265885,29.59805710286581
Nitab11g018470.1,27.324487808133533,25.148619000005507,24.95445652690474
Nitab11g018480.1,9.170146368972166,7.343655266021547,7.748838274976461
Nitab11g018500.1,16.655594287701355,18.037638676157226,16.84417992022339
Nitab11g018520.1,45.5535152174079,49.94250584091481,38.24781784044226
Nitab11g018530.1,6.995834768102706,6.71119179889274,7.382378030128388
Nitab11g018540.1,4.496186376598604,5.154946587613825,5.38226230873808
Nitab11g018560.1,15.603526063169697,14.597251368970152,14.346653402860259
Nitab11g018580.1,30.2632415063016,38.081336558135625,40.55669123523488
Nitab11g018620.1,22.46296959035247,15.55903719013733,17.369015623171872
Nitab11g018660.1,11.15097215798978,9.531993943725707,11.228261461565157
Nitab11g018680.1,5.213070582155365,5.482538109394731,6.443746988713521
Nitab11g018690.1,16.76344172905358,17.49194349496874,13.863003653636694
Nitab11g018700.1,8.546640897320614,6.58936145573268,7.831870027674238
Nitab11g018720.1,16.039942815278756,17.932294564455027,18.56224901950292
Nitab11g018730.1,10.647619699702561,11.731767369042839,10.39689576935098
Nitab11g018750.1,87.0486957514154,92.6637708012501,76.48044144860665
Nitab11g018760.1,22.173784994715074,18.38597616248934,19.982566848386984
Nitab11g018770.1,23.68098927430979,26.033793072183556,26.855874546509273
Nitab11g018780.1,53.284962920973484,60.45714467465157,50.51772517850639
Nitab11g018790.1,25.952089889051873,23.877977910938668,24.889050512670302
Nitab11g018820.1,59.70370426598372,63.839558039873225,40.65360064128156
Nitab11g018900.1,16.89780871640777,15.716837413211996,19.143206852411552
Nitab11g018910.1,24.031799091111242,23.422491617463358,20.409870704331862
Nitab11g018920.1,15.552645495040775,14.127733290848262,13.797510822509727
Nitab11g018930.1,16.328771347280288,15.144388056278897,18.392831210502667
Nitab11g018950.1,18.71346290940879,21.367051330181198,21.553956488236345
Nitab11g018960.1,15.199202362942604,17.508398540673475,16.93416146190676
Nitab11g018970.1,20.68833470016614,18.385444176257366,22.745473843428755
Nitab11g018980.1,21.76343074497816,22.113442300694647,17.916597046124664
Nitab11g019010.1,15.775064181954454,11.186414970440865,21.500343835972348
Nitab11g019040.1,7.66319003072183,6.573902351221117,6.012466530900075
Nitab11g019080.1,37.2380779305308,35.943107200244704,32.11827021720776
Nitab11g019090.1,6.557519368505612,9.215492336033494,4.317503256535142
Nitab11g019110.1,10.154051183832221,8.52532909855717,6.595982457804988
Nitab11g019120.1,15.492976100740263,15.069132194439105,15.574704436041733
Nitab11g019150.1,9.70394918518026,9.121293959995347,8.818066846519752
Nitab11g019200.1,5.657242971496377,4.46517864420509,8.012500907898582
Nitab11g019270.1,10.918130134752323,8.071641184862182,7.801320488014929
Nitab11g019280.1,12.479518025936995,11.087159246860214,11.456894072479065
Nitab11g019290.1,26.893633515018777,28.798244768193793,22.497226946161565
Nitab11g019300.1,24.498137502989948,24.337683973064834,16.445409073587776
Nitab11g019320.1,25.696713284593496,19.030268927485277,20.10319757746223
Nitab11g019350.1,89.06573641083868,53.86653664237842,98.051129225471
Nitab11g019440.1,13.926816166801318,14.840502322319091,15.185729562020613
Nitab11g019490.1,13.264306959215768,11.574423459755309,12.929908470409536
Nitab11g019500.1,67.01200162416819,55.11585531547143,85.09918246253709
Nitab11g019510.1,20.885136530510263,29.796869054531737,30.66271217804171
Nitab11g019530.1,17.28924167626436,17.010051959539858,16.765570043616854
Nitab11g019540.1,12.648605696513975,11.650166383703896,12.578372951699459
Nitab11g019550.1,5.394506998222801,5.577049843204153,5.517091747935238
Nitab11g019590.1,8.25722394184731,7.567398725414818,9.518278707413728
Nitab11g019640.1,5.856235431573758,2.4032653312193415,6.990920782528083
Nitab11g019650.1,25.181872263039754,25.475734961988405,11.134519018936109
Nitab11g019690.1,5.9033008792378325,5.338433328254384,6.387651572723006
Nitab11g019710.1,7.659969334652914,7.047129952717706,8.078327839597092
Nitab11g019720.1,10.332730719416926,9.352605888406814,10.67642645525136
Nitab11g019730.1,15.901725482869063,15.415414530361334,18.092394598813943
Nitab11g019750.1,45.20800662298608,52.533281804384096,61.69551787957416
Nitab11g019770.1,4.220104756982905,11.213844780544806,4.358578168596697
Nitab11g019780.1,7.169213257745078,7.735771394682044,6.22259508963486
Nitab11g019790.1,12.429206474798018,11.425950991749586,9.928636414920327
Nitab11g019800.1,20.695481304996598,36.03395287221442,18.339703343014246
